<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140102,100100,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100200,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100300,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100400,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100500,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100600,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140102,100700,20521.2089844,26180.0000000,27100.0000000,26040.0000000,31025000
20140103,100100,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100200,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100300,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100400,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100500,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100600,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140103,100700,20317.4082031,25920.0000000,26220.0000000,25740.0000000,26496600
20140106,100100,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100200,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100300,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100400,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100500,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100600,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140106,100700,20489.8554688,26140.0000000,26400.0000000,25920.0000000,19735800
20140107,100100,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100200,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100300,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100400,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100500,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100600,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140107,100700,20442.8222656,26080.0000000,26360.0000000,25900.0000000,19763200
20140108,100100,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100200,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100300,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100400,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100500,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100600,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140108,100700,20239.0234375,25820.0000000,26080.0000000,25740.0000000,20474650
20140109,100100,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100200,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100300,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100400,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100500,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100600,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140109,100700,19988.1835938,25500.0000000,26140.0000000,25500.0000000,21250950
20140110,100100,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100200,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100300,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100400,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100500,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100600,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140110,100700,19941.1601562,25440.0000000,25720.0000000,25440.0000000,18189150
20140113,100100,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100200,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100300,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100400,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100500,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100600,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140113,100700,20301.7285156,25900.0000000,25940.0000000,25460.0000000,16449350
20140114,100100,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100200,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100300,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100400,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100500,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100600,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140114,100700,20583.9140625,26260.0000000,26600.0000000,25800.0000000,14716650
20140115,100100,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100200,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100300,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100400,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100500,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100600,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140115,100700,20364.4414062,25980.0000000,26620.0000000,25960.0000000,11747450
20140116,100100,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100200,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100300,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100400,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100500,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100600,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140116,100700,20395.7890625,26020.0000000,26200.0000000,25860.0000000,9752450
20140117,100100,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100200,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100300,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100400,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100500,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100600,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140117,100700,20254.6992188,25840.0000000,26300.0000000,25840.0000000,12774250
20140120,100100,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100200,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100300,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100400,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100500,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100600,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140120,100700,20630.9453125,26320.0000000,26380.0000000,25920.0000000,8682800
20140121,100100,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100200,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100300,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100400,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100500,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100600,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
20140121,100700,20756.3574219,26480.0000000,26540.0000000,26220.0000000,7562300
