<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140102,100100,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100200,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100300,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100400,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100500,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100600,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140102,100700,37487.6640625,56400.0000000,58300.0000000,56000.0000000,247497
20140103,100100,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100200,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100300,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100400,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100500,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100600,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140103,100700,37022.3945312,55700.0000000,56700.0000000,55100.0000000,220482
20140106,100100,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100200,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100300,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100400,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100500,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100600,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140106,100700,36889.4609375,55500.0000000,55800.0000000,54600.0000000,190935
20140107,100100,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100200,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100300,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100400,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100500,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100600,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140107,100700,36623.5898438,55100.0000000,55600.0000000,54900.0000000,179610
20140108,100100,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100200,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100300,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100400,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100500,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100600,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140108,100700,36091.8476562,54300.0000000,55400.0000000,53700.0000000,374566
20140109,100100,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100200,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100300,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100400,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100500,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100600,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140109,100700,35892.4492188,54000.0000000,54400.0000000,53600.0000000,264952
20140110,100100,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100200,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100300,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100400,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100500,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100600,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140110,100700,35427.1718750,53300.0000000,54500.0000000,53000.0000000,652681
20140113,100100,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100200,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100300,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100400,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100500,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100600,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140113,100700,35493.6445312,53400.0000000,53800.0000000,53200.0000000,165177
20140114,100100,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100200,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100300,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100400,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100500,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100600,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140114,100700,35227.7734375,53000.0000000,53400.0000000,52500.0000000,186179
20140115,100100,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100200,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100300,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100400,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100500,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100600,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140115,100700,35360.7109375,53200.0000000,53400.0000000,52700.0000000,137393
20140116,100100,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100200,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100300,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100400,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100500,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100600,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140116,100700,35294.2421875,53100.0000000,53900.0000000,53000.0000000,226943
20140117,100100,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100200,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100300,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100400,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100500,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100600,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140117,100700,35227.7734375,53000.0000000,53600.0000000,52800.0000000,87853
20140120,100100,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100200,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100300,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100400,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100500,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100600,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140120,100700,35227.7734375,53000.0000000,53100.0000000,52500.0000000,86552
20140121,100100,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100200,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100300,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100400,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100500,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100600,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140121,100700,35493.6445312,53400.0000000,53600.0000000,52700.0000000,108373
20140122,100100,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100200,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100300,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100400,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100500,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100600,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140122,100700,35493.6445312,53400.0000000,53700.0000000,53200.0000000,108817
20140123,100100,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100200,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100300,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100400,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100500,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100600,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140123,100700,35227.7734375,53000.0000000,53600.0000000,52800.0000000,130283
20140124,100100,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100200,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100300,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100400,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100500,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100600,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140124,100700,35294.2421875,53100.0000000,53300.0000000,52600.0000000,154814
20140127,100100,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100200,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100300,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100400,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100500,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100600,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140127,100700,34696.0312500,52200.0000000,52400.0000000,51600.0000000,193409
20140128,100100,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100200,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100300,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100400,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100500,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100600,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140128,100700,34496.6289062,51900.0000000,52200.0000000,51400.0000000,201093
20140129,100100,34097.8242188,51300.0000000,52200.0000000,51100.0000000,355136
