DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20140108,100300,195738.5312500,224000.0000000,240500.0000000,220500.0000000,638009
20140108,100400,195738.5312500,224000.0000000,240500.0000000,220500.0000000,638009
20140108,100500,195738.5312500,224000.0000000,240500.0000000,220500.0000000,638009
20140108,100600,195738.5312500,224000.0000000,240500.0000000,220500.0000000,638009
20140108,100700,195738.5312500,224000.0000000,240500.0000000,220500.0000000,638009
20140109,100100,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100200,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100300,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100400,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100500,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100600,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140109,100700,193117.0625000,221000.0000000,227500.0000000,220000.0000000,380438
20140110,100100,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100200,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100300,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100400,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100500,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100600,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140110,100700,194864.7031250,223000.0000000,225000.0000000,211000.0000000,730115
20140113,100100,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100200,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100300,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100400,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100500,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100600,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140113,100700,190495.5625000,218000.0000000,225500.0000000,215500.0000000,289892
20140114,100100,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100200,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100300,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100400,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100500,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100600,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140114,100700,191806.2812500,219500.0000000,219500.0000000,214000.0000000,215949
20140115,100100,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100200,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100300,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100400,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100500,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100600,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140115,100700,195301.6250000,223500.0000000,227500.0000000,219500.0000000,251594
20140116,100100,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100200,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100300,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100400,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100500,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100600,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140116,100700,199233.8906250,228000.0000000,230000.0000000,224000.0000000,289620
20140117,100100,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100200,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100300,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100400,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100500,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100600,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140117,100700,189621.6875000,217000.0000000,228000.0000000,216000.0000000,356618
20140120,100100,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100200,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100300,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100400,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100500,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100600,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140120,100700,181757.2031250,208000.0000000,216500.0000000,206000.0000000,338211
20140121,100100,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100200,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100300,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100400,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100500,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100600,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140121,100700,183941.7968750,210500.0000000,212000.0000000,205000.0000000,206078
20140122,100100,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100200,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100300,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100400,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100500,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100600,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140122,100700,189184.7968750,216500.0000000,217000.0000000,209000.0000000,189618
20140123,100100,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100200,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100300,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100400,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100500,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100600,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140123,100700,186563.2812500,213500.0000000,217500.0000000,209500.0000000,211403
20140124,100100,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100200,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100300,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100400,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100500,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100600,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140124,100700,180446.4531250,206500.0000000,212500.0000000,204500.0000000,210599
20140127,100100,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100200,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100300,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100400,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100500,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100600,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140127,100700,171708.1250000,196500.0000000,203500.0000000,196500.0000000,317122
20140128,100100,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100200,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100300,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100400,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100500,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100600,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140128,100700,173455.8125000,198500.0000000,199500.0000000,190500.0000000,437862
20140129,100100,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100200,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100300,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100400,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100500,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100600,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140129,100700,173455.8125000,198500.0000000,201500.0000000,197500.0000000,160955
20140203,100100,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100200,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100300,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100400,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100500,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100600,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140203,100700,166028.2187500,190000.0000000,196500.0000000,190000.0000000,238500
20140204,100100,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100200,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100300,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100400,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100500,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100600,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140204,100700,166465.1562500,190500.0000000,194500.0000000,186500.0000000,273909
20140205,100100,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100200,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100300,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100400,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100500,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100600,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140205,100700,172145.0468750,197000.0000000,199000.0000000,193000.0000000,242011
20140206,100100,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140206,100200,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140206,100300,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140206,100400,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140206,100500,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
20140206,100600,174766.5468750,200000.0000000,200000.0000000,195000.0000000,143636
