<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220112,100500,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220112,100600,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220112,100700,36120.3437500,40550.0000000,40550.0000000,40000.0000000,314027
20220113,100100,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100200,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100300,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100400,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100500,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100600,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220113,100700,35897.6523438,40300.0000000,40800.0000000,40150.0000000,238584
20220114,100100,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100200,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100300,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100400,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100500,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100600,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220114,100700,35541.3515625,39900.0000000,40250.0000000,39750.0000000,153503
20220117,100100,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100200,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100300,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100400,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100500,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100600,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220117,100700,34873.2773438,39150.0000000,39900.0000000,39050.0000000,155099
20220118,100100,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100200,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100300,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100400,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100500,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100600,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220118,100700,34917.8164062,39200.0000000,39400.0000000,38900.0000000,156508
20220119,100100,35496.8125000,39850.0000000,40700.0000000,39200.0000000,278134
