<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220112,100100,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100200,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100300,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100400,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100500,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100600,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220112,100700,74751.8125000,78900.0000000,79600.0000000,78600.0000000,11000502
20220113,100100,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100200,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100300,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100400,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100500,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100600,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220113,100700,73804.3671875,77900.0000000,79300.0000000,77900.0000000,13889401
20220114,100100,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100200,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100300,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100400,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100500,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100600,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220114,100700,73235.9062500,77300.0000000,78100.0000000,77100.0000000,10096725
20220117,100100,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100200,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100300,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100400,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100500,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100600,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220117,100700,73425.4140625,77500.0000000,77800.0000000,76900.0000000,8785122
20220118,100100,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100200,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100300,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100400,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100500,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100600,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220118,100700,72951.6953125,77000.0000000,77800.0000000,76600.0000000,9592788
20220119,100100,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100200,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100300,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100400,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100500,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100600,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220119,100700,72288.5000000,76300.0000000,76900.0000000,76100.0000000,10598290
20220120,100100,72477.9843750,76500.0000000,76700.0000000,75900.0000000,9708168
20220120,100200,72477.9843750,76500.0000000,76700.0000000,75900.0000000,9708168
20220120,100300,72477.9843750,76500.0000000,76700.0000000,75900.0000000,9708168
20220120,100400,72477.9843750,76500.0000000,76700.0000000,75900.0000000,9708168
20220120,100500,72477.9843750,76500.0000000,76700.0000000,75900.0000000,9708168
